	mulop	else	addop	)	while	{	relop	}	num	=	+	-	$	id	;	int	float	if	(	
METHOD_BODY	Error	Error	Error	Error	STATEMENT_LIST 	Error	Error	Error	Error	Error	Error	Error	Sync	STATEMENT_LIST 	Error	STATEMENT_LIST 	STATEMENT_LIST 	STATEMENT_LIST 	Error	
STATEMENT_LIST	Error	Error	Error	Error	STATEMENT STATEMENT_LIST2 	Error	Error	Error	Error	Error	Error	Error	Sync	STATEMENT STATEMENT_LIST2 	Error	STATEMENT STATEMENT_LIST2 	STATEMENT STATEMENT_LIST2 	STATEMENT STATEMENT_LIST2 	Error	
STATEMENT	Error	Error	Error	Error	WHILE 	Error	Error	Sync	Error	Error	Error	Error	Sync	ASSIGNMENT 	Error	DECLARATION 	DECLARATION 	IF 	Error	
STATEMENT_LIST2	Error	Error	Error	Error	STATEMENT STATEMENT_LIST2 	Error	Error	Error	Error	Error	Error	Error	eps 	STATEMENT STATEMENT_LIST2 	Error	STATEMENT STATEMENT_LIST2 	STATEMENT STATEMENT_LIST2 	STATEMENT STATEMENT_LIST2 	Error	
EXPRESSION	Error	Error	Error	Sync	Error	Error	Error	Error	SIMPLE_EXPRESSION EXPRESSION2 	Error	SIMPLE_EXPRESSION EXPRESSION2 	SIMPLE_EXPRESSION EXPRESSION2 	Error	SIMPLE_EXPRESSION EXPRESSION2 	Sync	Error	Error	Error	SIMPLE_EXPRESSION EXPRESSION2 	
TERM	Error	Error	Sync	Sync	Error	Error	Sync	Error	FACTOR TERM2 	Error	Error	Error	Error	FACTOR TERM2 	Sync	Error	Error	Error	FACTOR TERM2 	
SIGN	Error	Error	Error	Error	Error	Error	Error	Error	Sync	Error	+ 	- 	Error	Sync	Error	Error	Error	Error	Sync	
EXPRESSION2	Error	Error	Error	eps 	Error	Error	relop SIMPLE_EXPRESSION 	Error	Error	Error	Error	Error	Error	Error	eps 	Error	Error	Error	Error	
SIMPLE_EXPRESSION2	Error	Error	addop TERM SIMPLE_EXPRESSION2 	eps 	Error	Error	eps 	Error	Error	Error	Error	Error	Error	Error	eps 	Error	Error	Error	Error	
FACTOR	Sync	Error	Sync	Sync	Error	Error	Sync	Error	num 	Error	Error	Error	Error	id 	Sync	Error	Error	Error	( EXPRESSION ) 	
TERM2	mulop FACTOR TERM2 	Error	eps 	eps 	Error	Error	eps 	Error	Error	Error	Error	Error	Error	Error	eps 	Error	Error	Error	Error	
SIMPLE_EXPRESSION	Error	Error	Error	Sync	Error	Error	Sync	Error	TERM SIMPLE_EXPRESSION2 	Error	SIGN TERM SIMPLE_EXPRESSION2 	SIGN TERM SIMPLE_EXPRESSION2 	Error	TERM SIMPLE_EXPRESSION2 	Sync	Error	Error	Error	TERM SIMPLE_EXPRESSION2 	
DECLARATION	Error	Error	Error	Error	Sync	Error	Error	Sync	Error	Error	Error	Error	Sync	Sync	Error	PRIMITIVE_TYPE id ; 	PRIMITIVE_TYPE id ; 	Sync	Error	
IF	Error	Error	Error	Error	Sync	Error	Error	Sync	Error	Error	Error	Error	Sync	Sync	Error	Sync	Sync	if ( EXPRESSION ) { STATEMENT } else { STATEMENT } 	Error	
WHILE	Error	Error	Error	Error	while ( EXPRESSION ) { STATEMENT } 	Error	Error	Sync	Error	Error	Error	Error	Sync	Sync	Error	Sync	Sync	Sync	Error	
ASSIGNMENT	Error	Error	Error	Error	Sync	Error	Error	Sync	Error	Error	Error	Error	Sync	id = EXPRESSION ; 	Error	Sync	Sync	Sync	Error	
PRIMITIVE_TYPE	Error	Error	Error	Error	Error	Error	Error	Error	Error	Error	Error	Error	Error	Sync	Error	int 	float 	Error	Error	
